A_0,η_0,A_1,η_1,skill_factor,success,labor_efficiency,Y_0,L_0,error_type
1.0,1.0,1.25,0.9,4.0,true,0.9996001599360256,0.884796754024319,0.8333657626300461,none
1.0,1.0,1.25,0.9,5.0,true,0.9995002498750625,0.8847265926256116,0.8333504264677419,none
1.0,1.0,1.25,0.95,0.5,true,0.999987500156248,0.8850687448919075,0.8334252026414635,none
1.0,1.0,1.25,0.95,1.0,true,0.9999750006249845,0.8850599681270048,0.8334232849143864,none
1.0,1.0,1.25,0.95,2.0,true,0.9999500024998749,0.8850424151705725,0.8334194495217173,none
1.0,1.0,1.25,0.95,3.0,true,0.9999250056245781,0.8850248629785936,0.8334156142110245,none
1.0,1.0,1.25,0.95,4.0,true,0.9999000099990001,0.8850073115510162,0.8334117789823045,none
1.0,1.0,1.25,0.95,5.0,true,0.9998750156230471,0.8849897608877876,0.8334079438355527,none
1.0,1.0,1.25,1.0,0.5,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.0,1.0,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.0,2.0,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.0,3.0,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.0,4.0,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.0,5.0,true,1.0,0.8850775218479432,0.8334271203890363,none
1.0,1.0,1.25,1.05,0.5,true,0.999987500156248,0.8850687448919075,0.8334252026414635,none
1.0,1.0,1.25,1.05,1.0,true,0.9999750006249845,0.8850599681270048,0.8334232849143864,none
1.0,1.0,1.25,1.05,2.0,true,0.9999500024998749,0.8850424151705725,0.8334194495217173,none
1.0,1.0,1.25,1.05,3.0,true,0.9999250056245781,0.8850248629785936,0.8334156142110245,none
1.0,1.0,1.25,1.05,4.0,true,0.9999000099990001,0.8850073115510162,0.8334117789823045,none
1.0,1.0,1.25,1.05,5.0,true,0.9998750156230471,0.8849897608877876,0.8334079438355527,none
1.0,1.0,1.25,1.1,0.5,true,0.9999500024998749,0.8850424151705725,0.8334194495217173,none
1.0,1.0,1.25,1.1,1.0,true,0.9999000099990001,0.8850073115510162,0.8334117789823045,none
1.0,1.0,1.25,1.1,2.0,true,0.9998000399920016,0.884937113483671,0.8333964388870682,none
1.0,1.0,1.25,1.1,3.0,true,0.9997000899730081,0.8848669276425556,0.8333811001030684,none
1.0,1.0,1.25,1.1,4.0,true,0.9996001599360256,0.884796754024319,0.8333657626300461,none
1.0,1.0,1.25,1.1,5.0,true,0.9995002498750625,0.8847265926256116,0.8333504264677419,none
1.0,1.0,1.25,1.2,0.5,true,0.9998000399920016,0.884937113483671,0.8333964388870682,none
1.0,1.0,1.25,1.2,1.0,true,0.9996001599360256,0.884796754024319,0.8333657626300461,none
1.0,1.0,1.25,1.2,2.0,true,0.9992006394884093,0.8845161817131889,0.8333044258425506,none
1.0,1.0,1.25,1.2,3.0,true,0.998801438274071,0.8842358047003812,0.8332431100099846,none
1.0,1.0,1.25,1.2,4.0,true,0.998402555910543,0.8839556227720461,0.8331818151158045,none
1.0,1.0,1.25,1.2,5.0,true,0.998003992015968,0.8836756357146527,0.8331205411434868,none
1.0,1.0,1.25,1.3,0.5,true,0.9995502024089159,0.8847616717977334,0.8333580943850704,none
1.0,1.0,1.25,1.3,1.0,true,0.9991008092716556,0.8844460691591283,0.8332890949205312,none
1.0,1.0,1.25,1.3,2.0,true,0.9982032341784787,0.8838156048978147,0.8331511755154446,none
1.0,1.0,1.25,1.3,3.0,true,0.9973072703700011,0.8831861266313011,0.8330133619855409,none
1.0,1.0,1.25,1.3,4.0,true,0.9964129135113591,0.8825576319350698,0.8328756541431237,none
1.0,1.0,1.25,1.3,5.0,true,0.9955201592832256,0.8819301183927529,0.8327380518010337,none
1.0,1.0,1.5,0.7,0.5,true,0.9995502024089159,0.8312840209766879,0.7593087808171803,none
1.0,1.0,1.5,0.7,1.0,true,0.9991008092716556,0.8309909070738207,0.7592505663377261,none
1.0,1.0,1.5,0.7,2.0,true,0.9982032341784787,0.8304053614968061,0.7591341984126053,none
1.0,1.0,1.5,0.7,3.0,true,0.9973072703700011,0.8298207237036888,0.7590179117507704,none
1.0,1.0,1.5,0.7,4.0,true,0.9964129135113591,0.8292369914757162,0.7589017062144496,none
1.0,1.0,1.5,0.7,5.0,true,0.9955201592832256,0.8286541626015633,0.7587855816662645,none
1.0,1.0,1.5,0.8,0.5,true,0.9998000399920016,0.831446960440015,0.7593411309943888,none
1.0,1.0,1.5,0.8,1.0,true,0.9996001599360256,0.8313166032435901,0.7593152503496217,none
1.0,1.0,1.5,0.8,2.0,true,0.9992006394884093,0.8310560238261631,0.7592635011294342,none
1.0,1.0,1.5,0.8,3.0,true,0.998801438274071,0.8307956242126717,0.7592117679915779,none
1.0,1.0,1.5,0.8,4.0,true,0.998402555910543,0.8305354042074188,0.7591600509239095,none
1.0,1.0,1.5,0.8,5.0,true,0.998003992015968,0.8302753636149987,0.7591083499143013,none
1.0,1.0,1.5,0.9,0.5,true,0.9999500024998749,0.8315447578833217,0.7593605441193815,none
1.0,1.0,1.5,0.9,1.0,true,0.9999000099990001,0.8315121559208826,0.7593540728261062,none
1.0,1.0,1.5,0.9,2.0,true,0.9998000399920016,0.831446960440015,0.7593411309943888,none
1.0,1.0,1.5,0.9,3.0,true,0.9997000899730081,0.8313817762152731,0.7593281901689576,none
1.0,1.0,1.5,0.9,4.0,true,0.9996001599360256,0.8313166032435901,0.7593152503496217,none
1.0,1.0,1.5,0.9,5.0,true,0.9995002498750625,0.8312514415219012,0.7593023115361915,none
1.0,1.0,1.5,0.95,0.5,true,0.999987500156248,0.8315692112025934,0.7593653977544773,none
1.0,1.0,1.5,0.95,1.0,true,0.9999750006249845,0.8315610599202108,0.7593637798603837,none
